Ablation ladder — is the 27-cell regime conditioning real?
All rungs scored on the SAME decision windows (gated on the conditional cell).
p05 = 5th-percentile slippage (the adverse tail). + = beats a market order at the open.
conditional reproduces run_backtest_rolling at target=0.6 (asserted).

=== Gold (tick=0.1, active days 132/296) ===
market    side tau target rung              n   fill      avg   median p05(tail)
Nasdaq    buy   10   0.40 unconditional  19280 50.9%   -0.337  +10.000    -66.00
Nasdaq    buy   10   0.50 conditional   19280 61.7%   -0.156  +11.000    -66.00
Nasdaq    buy   10   0.50 unconditional  19280 61.8%   -0.161  +10.000    -59.00
Nasdaq    buy   10   0.60 conditional   19280 70.9%   -0.112  +10.000    -58.00
Nasdaq    buy   10   0.60 unconditional  19280 71.3%   -0.229  +10.000    -52.00
Nasdaq    buy   10   0.70 conditional   19280 79.2%   -0.171   +7.000    -49.00
Nasdaq    buy   10   0.70 unconditional  19280 79.6%   -0.275   +8.000    -44.00
Nasdaq    buy   10   0.80 conditional   19280 86.2%   -0.461   +5.000    -38.00
Nasdaq    buy   10   0.80 unconditional  19280 87.5%   -0.509   +5.000    -33.00
Nasdaq    buy   10    -   persistence   19280 51.2%   -0.457   +4.000    -77.00
Nasdaq    buy   10    -   random        19280 16.1%   -0.480   +1.000    -84.00
Nasdaq    buy   10    -   vwap          19280 100.0%   +0.140   -0.259    -55.66
Nasdaq    sell  15   0.40 conditional   12693 50.3%   +0.495  +14.000    -92.00
Nasdaq    sell  15   0.40 unconditional  12693 50.3%   +0.517  +14.000    -86.00
Nasdaq    sell  15   0.50 conditional   12693 59.9%   +0.587  +15.000    -84.00
Nasdaq    sell  15   0.50 unconditional  12693 60.9%   +0.597  +14.000    -77.00
Nasdaq    sell  15   0.60 conditional   12693 69.5%   +0.596  +13.000    -73.00
Nasdaq    sell  15   0.60 unconditional  12693 70.4%   +0.411  +13.000    -67.00
Nasdaq    sell  15   0.70 conditional   12693 77.8%   +0.372  +11.000    -62.00
Nasdaq    sell  15   0.70 unconditional  12693 78.6%   +0.083  +11.000    -56.00
Nasdaq    sell  15   0.80 conditional   12693 85.4%   -0.025   +7.000    -46.00
Nasdaq    sell  15   0.80 unconditional  12693 86.4%   -0.132   +7.000    -41.00
Nasdaq    sell  15    -   persistence   12693 50.2%   +0.431   +6.000    -95.00
Nasdaq    sell  15    -   random        12693 18.2%   +0.569   +4.000   -107.00
Nasdaq    sell  15    -   vwap          12693 100.0%   -0.425   +0.758    -76.10
Nasdaq    buy   15   0.40 conditional   12693 51.0%   -0.152  +12.000    -89.00
Nasdaq    buy   15   0.40 unconditional  12693 50.4%   -0.338  +13.000    -84.00
Nasdaq    buy   15   0.50 conditional   12693 60.7%   +0.241  +14.000    -82.00
Nasdaq    buy   15   0.50 unconditional  12693 61.0%   -0.100  +13.000    -76.00
Nasdaq    buy   15   0.60 conditional   12693 70.0%   +0.084  +13.000    -73.00
Nasdaq    buy   15   0.60 unconditional  12693 70.8%   +0.158  +12.000    -65.00
Nasdaq    buy   15   0.70 conditional   12693 78.7%   +0.142   +9.000    -61.00
Nasdaq    buy   15   0.70 unconditional  12693 79.3%   -0.085  +10.000    -56.00
Nasdaq    buy   15   0.80 conditional   12693 86.4%   -0.032   +6.000    -43.40
Nasdaq    buy   15   0.80 unconditional  12693 87.0%   -0.384   +7.000    -40.00
Nasdaq    buy   15    -   persistence   12693 51.0%   -0.079   +5.000    -96.00
Nasdaq    buy   15    -   random        12693 17.9%   -0.396   +2.000   -103.00
Nasdaq    buy   15    -   vwap          12693 100.0%   +0.425   -0.758    -68.78
Nasdaq    sell  30   0.40 conditional    5980 48.1%   +1.250  +21.000   -128.05
Nasdaq    sell  30   0.40 unconditional   5980 48.2%   +0.845  +24.000   -123.00
Nasdaq    sell  30   0.50 conditional    5980 57.6%   +1.574  +23.000   -120.00
Nasdaq    sell  30   0.50 unconditional   5980 58.4%   +1.049  +23.000   -112.00
Nasdaq    sell  30   0.60 conditional    5980 67.0%   +1.629  +21.000   -104.00
Nasdaq    sell  30   0.60 unconditional   5980 68.7%   +1.154  +21.000    -96.05
Nasdaq    sell  30   0.70 conditional    5980 76.2%   +1.700  +16.000    -84.00
Nasdaq    sell  30   0.70 unconditional   5980 78.0%   +0.901  +18.000    -80.00
Nasdaq    sell  30   0.80 conditional    5980 83.7%   +0.789  +11.000    -70.00
Nasdaq    sell  30   0.80 unconditional   5980 85.7%   +0.340  +12.000    -64.00
Nasdaq    sell  30    -   persistence    5980 49.7%   +0.915   +9.000   -130.00
Nasdaq    sell  30    -   random         5980 21.8%   +0.887   +7.500   -150.05
Nasdaq    sell  30    -   vwap           5980 100.0%   -1.155   +0.872   -106.83
Nasdaq    buy   30   0.40 conditional    5980 49.7%   -0.028  +19.000   -125.00
Nasdaq    buy   30   0.40 unconditional   5980 49.3%   -0.297  +19.000   -120.05
Nasdaq    buy   30   0.50 conditional    5980 60.0%   +0.871  +21.000   -112.05
Nasdaq    buy   30   0.50 unconditional   5980 59.9%   -0.014  +19.000   -109.05
Nasdaq    buy   30   0.60 conditional    5980 69.8%   +1.372  +19.000   -103.00
Nasdaq    buy   30   0.60 unconditional   5980 70.2%   +0.678  +19.000    -97.00
Nasdaq    buy   30   0.70 conditional    5980 77.5%   +0.689  +14.000    -90.00
Nasdaq    buy   30   0.70 unconditional   5980 79.0%   +0.948  +16.500    -81.05
Nasdaq    buy   30   0.80 conditional    5980 85.6%   +0.543  +10.000    -70.05
Nasdaq    buy   30   0.80 unconditional   5980 86.4%   +0.182  +11.000    -64.00
Nasdaq    buy   30    -   persistence    5980 51.7%   -0.701   +8.000   -134.05
Nasdaq    buy   30    -   random         5980 20.7%   -1.730   +2.000   -143.00
Nasdaq    buy   30    -   vwap           5980 100.0%   +1.155   -0.872    -95.96
Nasdaq    sell  60   0.40 conditional    2782 46.2%   +2.962  +32.000   -189.95
Nasdaq    sell  60   0.40 unconditional   2782 45.7%   +2.197  +38.000   -186.95
Nasdaq    sell  60   0.50 conditional    2782 54.3%   +2.751  +35.000   -178.95
Nasdaq    sell  60   0.50 unconditional   2782 55.8%   +0.968  +38.000   -177.00
Nasdaq    sell  60   0.60 conditional    2782 63.9%   +1.776  +32.000   -172.00
Nasdaq    sell  60   0.60 unconditional   2782 65.0%   +0.413  +35.000   -166.85
Nasdaq    sell  60   0.70 conditional    2782 72.8%   +0.340  +26.000   -147.95
Nasdaq    sell  60   0.70 unconditional   2782 74.4%   -0.207  +31.000   -138.00
Nasdaq    sell  60   0.80 conditional    2782 81.5%   +0.560  +18.000   -114.95
Nasdaq    sell  60   0.80 unconditional   2782 83.6%   +0.552  +21.000   -111.00
Nasdaq    sell  60    -   persistence    2782 50.3%   +1.811  +15.000   -191.95
Nasdaq    sell  60    -   random         2782 25.7%   +3.706  +12.000   -212.00
Nasdaq    sell  60    -   vwap           2782 100.0%   -1.128   +2.013   -154.07
Nasdaq    buy   60   0.40 conditional    2782 46.3%   -2.734  +22.000   -191.95
Nasdaq    buy   60   0.40 unconditional   2782 45.9%   -1.902  +28.500   -181.00
Nasdaq    buy   60   0.50 conditional    2782 55.6%   -1.131  +30.000   -178.85
Nasdaq    buy   60   0.50 unconditional   2782 55.9%   -1.622  +29.000   -170.00
Nasdaq    buy   60   0.60 conditional    2782 64.4%   -0.427  +27.000   -161.00
Nasdaq    buy   60   0.60 unconditional   2782 66.3%   -1.366  +28.000   -156.00
Nasdaq    buy   60   0.70 conditional    2782 74.2%   +0.608  +22.000   -140.90
Nasdaq    buy   60   0.70 unconditional   2782 76.7%   +0.501  +26.000   -127.95
Nasdaq    buy   60   0.80 conditional    2782 82.2%   +0.640  +17.000   -113.00
Nasdaq    buy   60   0.80 unconditional   2782 84.7%   +0.971  +19.000    -96.95
Nasdaq    buy   60    -   persistence    2782 51.5%   -1.656  +11.000   -196.90
Nasdaq    buy   60    -   random         2782 22.9%   -2.797   +4.000   -219.00
Nasdaq    buy   60    -   vwap           2782 100.0%   +1.128   -2.013   -134.04
  saved: reports\figures\ablation_pareto_Nasdaq.png
  saved: reports\figures\ablation_tau_Nasdaq.png

=== Bunds (tick=0.01, active days 22/285) ===
market    side tau target rung              n   fill      avg   median p05(tail)
------------------------------------------------------------------------------
Bunds     sell   5   0.40 conditional    4194 51.1%   +0.143   +2.000     -7.00
Bunds     sell   5   0.40 unconditional   4194 47.7%   +0.113   +1.500     -7.00
Bunds     sell   5   0.50 conditional    4194 60.8%   +0.164   +2.000     -7.00
Bunds     sell   5   0.50 unconditional   4194 61.9%   +0.203   +2.000     -6.00
